Date,E-waste (kt) per Year
2019/11/02,10.62318984
2019/11/03,10.42317162
2019/11/04,10.36946302
2019/11/05,10.32501453
2019/11/06,10.33983069
2019/11/07,10.37511027
2019/11/08,10.38178383
2019/11/09,10.32679547
2019/11/10,10.24816987
2019/11/11,10.09881903
2019/11/12,10.1023241
2019/11/13,10.11657699
2019/11/14,10.26319468
2019/11/15,10.2236916
2019/11/16,10.25058667
2019/11/17,10.37705763
2019/11/18,10.62453016
2019/11/19,10.70281635
2019/11/20,10.70016258
2019/11/21,10.54145972
2019/11/22,10.55684019
2019/11/23,10.52467146
2019/11/24,10.40628906
2019/11/25,10.27475412
2019/11/26,10.24523685
2019/11/27,10.24788133
2019/11/28,10.07971924
2019/11/29,9.891000627
2019/11/30,9.777032602
2019/12/01,9.833472542
2019/12/02,9.822497284
2019/12/03,9.715908878
2019/12/04,9.611341911
2019/12/05,9.75131497
2019/12/06,9.945470215
2019/12/07,10.01539597
2019/12/08,10.03967187
2019/12/09,10.04237686
2019/12/10,10.13303342
2019/12/11,10.24128808
2019/12/12,10.27511681
2019/12/13,10.18594223
2019/12/14,10.11567034
2019/12/15,10.02275084
2019/12/16,10.01168221
2019/12/17,9.950165136
2019/12/18,9.835188028
2019/12/19,9.383040344
2019/12/20,9.4772325
2019/12/21,10.26956456
2019/12/22,10.40256632
2019/12/23,11.61036523
2019/12/24,11.49297087
2019/12/25,11.56346457
2019/12/26,11.1128384
2019/12/27,10.83753336
2019/12/28,10.77714291
2019/12/29,9.624236352
2019/12/30,8.803425874
2019/12/31,8.930701844
2020/1/01,8.972812609
2020/1/02,9.677867456
2020/1/03,10.00845469
2020/1/04,10.23825387
2020/1/05,10.47607838
2020/1/06,10.64146142
2020/1/07,10.8878339
2020/1/08,10.98087579
2020/1/09,11.07091045
2020/1/10,11.13968302
